param	expType	paramValue	species	type	conc	growthRate	excessProd	numTypes
m	FALSE	2.086985e-4	4	S-species	8.385894e-59	1.239161	2.587277	1
m	FALSE	2.086985e-4	5	S-species	1.256349e-26	2	2.587277	1
m	FALSE	2.086985e-4	6	S-species	1.937755e-38	1.613319	2.587277	1
m	FALSE	2.086985e-4	7	S-species	5.182765e-45	1.436066	2.587277	1
m	FALSE	2.086985e-4	8	S-species	3.612047e-7	2.535142	2.587277	1
m	FALSE	2.086985e-4	9	S-species	1.321167e-22	2.132169	2.587277	1
m	FALSE	2.086985e-4	10	S-species	9.594014999999999e-26	2.028718	2.587277	1
m	FALSE	2.196826e-4	1	S-species	0.9999997	2.589791	2.587145	1
m	FALSE	2.196826e-4	2	S-species	2.409367e-36	1.685576	2.587145	1
m	FALSE	2.196826e-4	3	S-species	1.72486e-18	2.262087	2.587145	1
m	FALSE	2.196826e-4	4	S-species	4.652455e-59	1.239161	2.587145	1
m	FALSE	2.196826e-4	5	S-species	8.803953999999999e-27	2	2.587145	1
m	FALSE	2.196826e-4	6	S-species	9.666995999999999e-39	1.613319	2.587145	1
m	FALSE	2.196826e-4	7	S-species	2.117669e-45	1.436066	2.587145	1
m	FALSE	2.196826e-4	8	S-species	3.241298e-7	2.535142	2.587145	1
m	FALSE	2.196826e-4	9	S-species	1.00082e-22	2.132169	2.587145	1
m	FALSE	2.196826e-4	10	S-species	6.855315e-26	2.028718	2.587145	1
m	FALSE	2.312449e-4	1	S-species	0.9999997	2.589791	2.587006	1
m	FALSE	2.312449e-4	2	S-species	1.399735e-38	1.685576	2.587006	1
m	FALSE	2.312449e-4	3	S-species	8.204037999999999e-19	2.262087	2.587006	1
m	FALSE	2.312449e-4	4	S-species	0	1.239161	2.587006	1
m	FALSE	2.312449e-4	5	S-species	1.394756e-27	2	2.587006	1
m	FALSE	2.312449e-4	6	S-species	1.161853e-41	1.613319	2.587006	1
m	FALSE	2.312449e-4	7	S-species	2.538699e-53	1.436066	2.587006	1
m	FALSE	2.312449e-4	8	S-species	2.830281e-7	2.535142	2.587006	1
m	FALSE	2.312449e-4	9	S-species	3.0385190000000005e-23	2.132169	2.587006	1
m	FALSE	2.312449e-4	10	S-species	1.278156e-26	2.028718	2.587006	1
m	FALSE	2.434157e-4	1	S-species	0.9999998	2.589791	2.586859	1
m	FALSE	2.434157e-4	2	S-species	1.558704e-36	1.685576	2.586859	1
m	FALSE	2.434157e-4	3	S-species	1.099351e-18	2.262087	2.586859	1
m	FALSE	2.434157e-4	4	S-species	4.552192e-58	1.239161	2.586859	1
m	FALSE	2.434157e-4	5	S-species	5.3761249999999994e-27	2	2.586859	1
m	FALSE	2.434157e-4	6	S-species	6.814067e-39	1.613319	2.586859	1
m	FALSE	2.434157e-4	7	S-species	2.009768e-45	1.436066	2.586859	1
m	FALSE	2.434157e-4	8	S-species	2.21723e-7	2.535142	2.586859	1
m	FALSE	2.434157e-4	9	S-species	6.204235e-23	2.132169	2.586859	1
m	FALSE	2.434157e-4	10	S-species	4.194735e-26	2.028718	2.586859	1
m	FALSE	2.56227e-4	1	S-species	0.9999998	2.589791	2.586706	1
m	FALSE	2.56227e-4	2	S-species	5.390175e-36	1.685576	2.586706	1
m	FALSE	2.56227e-4	3	S-species	6.6604329999999995e-19	2.262087	2.586706	1
m	FALSE	2.56227e-4	4	S-species	6.378695999999999e-57	1.239161	2.586706	1
m	FALSE	2.56227e-4	5	S-species	3.0557889999999997e-27	2	2.586706	1
m	FALSE	2.56227e-4	6	S-species	3.8213089999999994e-38	1.613319	2.586706	1
m	FALSE	2.56227e-4	7	S-species	2.8561309999999997e-44	1.436066	2.586706	1
m	FALSE	2.56227e-4	8	S-species	1.660336e-7	2.535142	2.586706	1
m	FALSE	2.56227e-4	9	S-species	3.2618890000000005e-23	2.132169	2.586706	1
m	FALSE	2.56227e-4	10	S-species	2.2517509999999998e-26	2.028718	2.586706	1
m	FALSE	2.697127e-4	1	S-species	0.9999999	2.589791	2.586544	1
m	FALSE	2.697127e-4	2	S-species	2.670649e-37	1.685576	2.586544	1
m	FALSE	2.697127e-4	3	S-species	4.745376e-19	2.262087	2.586544	1
m	FALSE	2.697127e-4	4	S-species	8.002083e-60	1.239161	2.586544	1
m	FALSE	2.697127e-4	5	S-species	1.560094e-27	2	2.586544	1
m	FALSE	2.697127e-4	6	S-species	1.0214699999999998e-39	1.613319	2.586544	1
m	FALSE	2.697127e-4	7	S-species	2.15564e-46	1.436066	2.586544	1
m	FALSE	2.697127e-4	8	S-species	1.342986e-7	2.535142	2.586544	1
m	FALSE	2.697127e-4	9	S-species	2.2089890000000002e-23	2.132169	2.586544	1
m	FALSE	2.697127e-4	10	S-species	1.272879e-26	2.028718	2.586544	1
m	FALSE	2.839081e-4	1	S-species	0.9999998	2.589791	2.586373	1
m	FALSE	2.839081e-4	2	S-species	4.521057e-36	1.685576	2.586373	1
m	FALSE	2.839081e-4	3	S-species	3.3961179999999997e-19	2.262087	2.586373	1
