time	resource	numTypes	assocRate
21361	46.09839	38	93.8779
21362	46.0773	38	93.8734
21363	46.05615	38	93.8689
21364	46.03496	38	93.8644
21365	46.01371	38	93.8599
21366	45.99241	38	93.8554
21367	45.97106	38	93.8509
21368	45.94966	38	93.8464
21369	45.9282	38	93.8419
21370	45.90669	38	93.8374
21371	45.88514	38	93.8329
21372	45.86353	38	93.8284
21373	45.84187	38	93.8239
21374	45.82015	38	93.8194
21375	45.79839	38	93.8149
21376	45.77658	38	93.8104
21377	45.75471	38	93.8059
21378	45.73279	38	93.8014
21379	45.71082	38	93.79691
21380	45.6888	38	93.79241
21381	45.66673	38	93.78791
21382	45.64461	38	93.78341
21383	45.62244	38	93.77891
21384	45.60022	38	93.77441
21385	45.57794	38	93.76991
21386	45.55562	38	93.76541
21387	45.53324	38	93.76091
21388	45.51081	38	93.75641
21389	45.48834	38	93.75191
21390	45.46581	38	93.74741
21391	45.44323	38	93.74291
21392	45.4206	38	93.73841
21393	45.39792	38	93.73391
21394	45.3752	38	93.72941
21395	45.35242	38	93.72491
21396	45.32959	38	93.72041
21397	45.30671	38	93.71591
21398	45.28378	38	93.71141
21399	45.2608	38	93.70691
21400	45.23777	38	93.70241
21401	45.21469	38	93.69791
21402	45.19156	38	93.69341
21403	45.16838	38	93.68891
21404	45.14515	38	93.68441
21405	45.12187	38	93.67991
21406	45.09854	38	93.67541
21407	45.07516	38	93.67091
21408	45.05173	38	93.66641
21409	45.02826	38	93.66191
21410	45.00473	38	93.65741
21411	44.98115	38	93.65291
21412	44.95753	38	93.64841
21413	44.93385	38	93.64391
21414	44.91013	38	93.63941
21415	44.88636	38	93.63491
21416	44.86253	38	93.63041
21417	44.83866	38	93.62591
21418	44.81474	38	93.62141
21419	44.79077	38	93.61691
21420	44.76676	38	93.61241
21421	44.74269	38	93.60791
21422	44.71858	38	93.60341
21423	44.69441	38	93.59891
21424	44.6702	38	93.59441
21425	44.64594	38	93.58991
21426	44.62163	38	93.58541
21427	44.59727	38	93.58091
21428	44.57286	38	93.57641
21429	44.54841	38	93.57191
21430	44.52391	38	93.56741
21431	44.49936	38	93.56291
21432	44.47476	38	93.55841
21433	44.45011	38	93.55391
21434	44.42542	38	93.54941
21435	44.40067	38	93.54491
21436	44.37588	38	93.54041
21437	44.35104	38	93.53591
21438	44.32616	38	93.53141
21439	44.30122	38	93.52691
21440	44.27624	38	93.52241
21441	44.25121	38	93.51791
21442	44.22613	38	93.51341
21443	44.20101	38	93.50891
21444	44.17584	38	93.50441
21445	44.15062	38	93.49991
21446	44.12535	38	93.49541
21447	44.10004	38	93.49091
21448	44.07468	38	93.48641
21449	44.04927	38	93.48191
21450	44.02382	38	93.47741
21451	43.99832	38	93.47291
21452	43.97277	38	93.46841
21453	43.94717	38	93.46391
21454	43.92153	38	93.45941
21455	43.89584	38	93.45491
21456	43.87011	38	93.45041
21457	43.84433	38	93.44591
21458	43.8185	38	93.44141
21459	43.79262	38	93.43691
21460	43.7667	38	93.43241
21461	43.74074	38	93.42791
21462	43.71472	38	93.42341
21463	43.68866	38	93.41891
21464	43.66256	38	93.41441
21465	43.6364	38	93.40991
21466	43.61021	38	93.40541
21467	43.58396	38	93.40091
21468	43.55767	38	93.39642
21469	43.53134	38	93.39192
21470	43.50496	38	93.38742
21471	43.47853	38	93.38292
21472	43.45206	38	93.37842
21473	43.42554	38	93.37392
21474	43.39898	38	93.36942
21475	43.37237	38	93.36492
21476	43.34571	38	93.36042
21477	43.31901	38	93.35592
21478	43.29227	38	93.35142
21479	43.26548	38	93.34692
21480	43.23864	38	93.34242
21481	43.21176	38	93.33792
21482	43.18484	38	93.33342
21483	43.15787	38	93.32892
21484	43.13086	38	93.32442
21485	43.1038	38	93.31992
21486	43.07669	38	93.31542
21487	43.04954	38	93.31092
21488	43.02235	38	93.30642
21489	42.99511	38	93.30192
21490	42.96783	38	93.29742
21491	42.94051	38	93.29292
21492	42.91314	38	93.28842
21493	42.88572	38	93.28392
21494	42.85826	38	93.27942
21495	42.83076	38	93.27492
21496	42.80321	38	93.27042
21497	42.77562	38	93.26592
21498	42.74799	38	93.26142
21499	42.72031	38	93.25692
21500	42.69259	38	93.25242
21501	42.66482	38	93.24792
21502	42.63701	38	93.24342
21503	42.60916	38	93.23892
21504	42.58126	38	93.23442
21505	42.55332	38	93.22992
21506	42.52534	38	93.22542
21507	42.49732	38	93.22092
21508	42.46925	38	93.21642
21509	42.44113	38	93.21192
21510	42.41298	38	93.20742
21511	42.38478	38	93.20292
21512	42.35654	38	93.19842
21513	42.32825	38	93.19392
21514	42.29993	38	93.18942
21515	42.27156	38	93.18492
21516	42.24315	38	93.18042
21517	42.21469	38	93.17592
21518	42.18619	38	93.17142
21519	42.15765	38	93.16692
21520	42.12907	38	93.16242
21521	42.10045	38	93.15792
21522	42.07178	38	93.15342
21523	42.04307	38	93.14892
21524	42.01432	38	93.14442
21525	41.98553	38	93.13992
21526	41.9567	38	93.13542
21527	41.92782	38	93.13092
